codigo_de_barras;nome_produto;imagem;comprimento;largura;altura;dimensoes_unidade;peso;peso_unidade
7899298672159;Roteador Wi-fi Alto Desempenho W5-1200GS Preto Intelbras;https://intelbras.vtexassets.com/arquivos/ids/170948-800-auto?v=638485421432470000&width=800&height=auto&aspect=true;19.1;16.9;10.4;cm;0.259;kg
7899298681229;Roteador Wi-Force W4-300S Intelbras;;;;;;;
7899298645832;Roteador Wireless Wi-Fi 6 RX 1500;https://intelbras.vtexassets.com/arquivos/ids/167928-800-auto?v=638161242204970000&width=800&height=auto&aspect=true;19.1;16.9;10.4;cm;0.3;kg
7896637684941;Roteador ACtion RF 1200 Wi-Fi 5 Intelbras;https://intelbras.vtexassets.com/arquivos/ids/167924-800-auto?v=638161217171670000&width=800&height=auto&aspect=true;30;29.5;7.7;cm;0.438;Kg
7899298641704;Roteador Empresarial Wi-Fi 5 de Longo Alcance AP 1250 AC MAX Branco Intelbras;https://intelbras.vtexassets.com/arquivos/ids/164883-800-auto?v=637889351744200000&width=800&height=auto&aspect=true;19.8;19.8;2.8;cm;0.49;kg
7896637694711;Roteador Wireless Wi-Force Intelbras GF 1200 Preto;https://intelbras.vtexassets.com/arquivos/ids/167938-800-auto?v=638161250559230000&width=800&height=auto&aspect=true;24;17.5;15.5;cm;0.236;kg
7896637625036;Roteador Wireless Wi-Force Intelbras W5-1200F Preto;https://intelbras.vtexassets.com/arquivos/ids/167975-800-auto?v=638161322437930000&width=800&height=auto&aspect=true;19;19;14.8;cm;0.355;kg
7899298658184;Roteador Wi-Fi 6 Dual Band W6-1500 Preto Intelbras;https://intelbras.vtexassets.com/arquivos/ids/168886-800-auto?v=638212201316200000&width=800&height=auto&aspect=true;19.12;10.42;1.69;cm;0.3;kg
7896637676526;Roteador Empresarial AP 310 com tecnologia Wi-Fi 4 Branco Intelbras;https://intelbras.vtexassets.com/arquivos/ids/167944-800-auto?v=638161252779500000&width=800&height=auto&aspect=true;31.2;24.4;7.8;cm;0.68;Kg
7896637676533;Roteador Empresarial Wi-Fi 4 de Longo Alcance AP 360 Branco Intelbras;https://intelbras.vtexassets.com/arquivos/ids/167932-800-auto?v=638161244875770000&width=800&height=auto&aspect=true;31.2;24.4;7.8;cm;0.68;Kg
7899298642282;Roteador Empresarial Wi-Fi 5 Outdoor AP 1250 AC  Branco Intelbras;https://intelbras.vtexassets.com/arquivos/ids/167962-800-auto?v=638161294794900000&width=800&height=auto&aspect=true;31.8;7.5;7.5;cm;0.985;kg
7899298662884;Sensor de Abertura Sem Fio Para Porta e Janela MSA 1001 Intelbras;;;;;;;
7896637643160;Sensor de Movimento Smart ISM 1001 Intelbras;;;;;;;
7899298613688;Sensor de Temperatura e Umidade Smart Intelbras IST 1001;https://intelbras.vtexassets.com/arquivos/ids/169364-800-auto?v=638285676533930000&width=800&height=auto&aspect=true;6.12;6.12;2.3;cm;0.072;kg
7896637670449;Porteiro Residencial com Abertura de 2 Portões Individuais IPR 8010 Intelbras;https://intelbras.vtexassets.com/arquivos/ids/170914-800-auto?v=638478533887570000&width=800&height=auto&aspect=true;18.9;10.5;5.5;cm;0.457;Kg
7899298666004;Porteiro Residencial com acesso RFID IPR 1010 ID Intelbras;;;;;;;
7896637673419;Porteiro Residencial para Uso Externo IPR 1010 Intelbras;https://intelbras.vtexassets.com/arquivos/ids/155906-800-auto?v=637063278500200000&width=800&height=auto&aspect=true;18.9;9;6;cm;0.26;Kg
7899298662150;Projetor Full HD 3800 Lúmens PFL6410 Intelbras;https://intelbras.vtexassets.com/arquivos/ids/170562-800-auto?v=638439436251800000&width=800&height=auto&aspect=true;31;28.6;15.5;cm;2.23;kg
7896637645980;Kit protetor auricular Intelbras com espuma AP3601 - 10 unidades;https://intelbras.vtexassets.com/arquivos/ids/156284-800-auto?v=637066791013970000&width=800&height=auto&aspect=true;5.6;5.6;1.2;cm;0.06;kg
7899298650645;Protetor Eletrônico Inteligente com 5 Tomadas EWS 305 Branco Intelbras;;;;;;;
7896637698542;Dispositivo de Proteção Elétrica Intelbras EPS 301 BR;https://intelbras.vtexassets.com/arquivos/ids/157046-800-auto?v=637078851913670000&width=800&height=auto&aspect=true;7;6.6;5.6;cm;0.072;g
7896637687119;Dispositivo de Proteção Elétrica Intelbras EPS 301 preto;;;;;;;
7896637637336;Protetor Eletrônico com 12 Tomadas para Rack - EPR 212+;https://intelbras.vtexassets.com/arquivos/ids/164640-800-auto?v=637866004446100000&width=800&height=auto&aspect=true;48.8;4.4;3.8;cm;0.834;kg
7896637698535;Dispositivo de Proteção Elétrica Intelbras EPS 302 BR;https://intelbras.vtexassets.com/arquivos/ids/157050-800-auto?v=637078881585800000&width=800&height=auto&aspect=true;10.3;7;5.8;cm;0.96;kg
7896637633734;Protetor Eletrônico c/ 4 Tomadas e 2 USB Intelbras EPE 204 USB BR;https://intelbras.vtexassets.com/arquivos/ids/161458-800-auto?v=637596369371230000&width=800&height=auto&aspect=true;36.2;10.4;4.4;cm;0.27;kg
7899298617914;Protetor Eletrônico c/ 4 Tomadas e 2 USB Intelbras EPE 204 USB BR +;https://intelbras.vtexassets.com/arquivos/ids/161473-800-auto?v=637596375305670000&width=800&height=auto&aspect=true;36;27.2;5;cm;0.35;kg
7896637633710;Protetor Eletrônico c/ 4 Tomadas e 2 USB Intelbras EPE 204 USB PT;https://intelbras.vtexassets.com/arquivos/ids/168937-800-auto?v=638215791257470000&width=800&height=auto&aspect=true;36.2;10.4;4.4;cm;0.27;kg
7899298617921;Protetor Eletrônico com 4 Tomadas e 2 USB EPE 204 USB+ Preto Intelbras;https://intelbras.vtexassets.com/arquivos/ids/161476-800-auto?v=637596378300400000&width=800&height=auto&aspect=true;27.2;5;3.6;cm;0.35;kg
7896637679794;Protetor Eletrônico Intelbras com 4 tomadas EPE 1004;https://intelbras.vtexassets.com/arquivos/ids/155559-800-auto?v=637062452218800000&width=800&height=auto&aspect=true;21.8;4.4;4;cm;0.262;Kg
7896637682183;Protetor Eletrônico Intelbras EPE 1005 Branco;;;;;;;
7896637682176;Protetor Eletrônico Intelbras EPE 1005 Preto;https://intelbras.vtexassets.com/arquivos/ids/155663-800-auto?v=637063026814070000&width=800&height=auto&aspect=true;21.5;4.4;3.6;cm;0.13;gramas
7896637612609;Protetor Eletrônico c/ 5 Tomadas - EPE 205+ BR;https://intelbras.vtexassets.com/arquivos/ids/164012-800-auto?v=637814142452300000&width=800&height=auto&aspect=true;27.2;5;3.6;cm;0.35;kg
7896637612630;Protetor Eletrônico c/ 5 Tomadas - EPE 205 + PT;https://intelbras.vtexassets.com/arquivos/ids/163997-800-auto?v=637814128916330000&width=800&height=auto&aspect=true;27.2;5;3.6;cm;0.35;kg
7896637689397;Protetor Eletrônico Intelbras com 5 Tomadas - EPE 205 BR;;;;;;;
7896637689403;Protetor Eletrônico Intelbras com 5 Tomadas - EPE 205 PT;https://intelbras.vtexassets.com/arquivos/ids/157807-800-auto?v=637207549829600000&width=800&height=auto&aspect=true;27.2;5;3.6;1;cm;225
7896637679800;Protetor Eletrônico Intelbras com 6 tomadas EPE 1006;https://intelbras.vtexassets.com/arquivos/ids/155564-800-auto?v=637062454535400000&width=800&height=auto&aspect=true;28.6;4.4;4;0.241;;
